Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
72,Kayle,Top,54.48%,1.37%,0.11%,3.58,4.67,5.45,6.92,6,16891,22151,7832,185.5,1.73,4.55,11778,30,2
73,Kayn,Jungle,50.21%,9.99%,3.47%,2.85,7.13,6.09,7.13,10,17035,31910,11948,47.6,6.41,55.16,11628,1,1
74,Kennen,Middle,53.29%,0.43%,0.12%,4.43,7.25,5.74,7.23,8,22049,19048,1929,157.1,0.65,1.96,11464,31,4
75,Kennen,Top,51.25%,1.69%,0.12%,2.98,5.51,5.45,6.29,6,20630,19256,1923,176.9,0.62,1.74,11394,37,2
76,Kha'Zix,Jungle,50.31%,5.79%,0.38%,3.67,7.83,5.48,6.07,9,16475,28544,10949,39.2,5.55,48.76,11538,10,0
77,Kindred,Jungle,51.69%,1.04%,0.02%,2.69,6.74,6.27,7.29,8,18618,24724,11042,47.0,6.66,43.9,11491,27,0
78,Kled,Top,51.48%,1.76%,0.24%,3.75,6.25,5.32,7.4,8,18611,32914,1816,162.6,1.18,2.48,11376,17,3
79,Kog'Maw,ADC,51.71%,4.77%,0.45%,2.69,7.18,5.93,6.87,9,25427,19537,3945,190.6,1.33,7.34,12541,8,2
80,LeBlanc,Middle,48.93%,2.72%,1.26%,3.15,7.68,5.38,6.13,8,19604,19304,4108,143.5,1.22,3.77,11200,38,1
81,Lee Sin,Jungle,47.01%,13.44%,1.93%,6.07,5.89,5.79,8.33,8,12643,28646,7029,34.8,4.77,44.96,10812,8,3
82,Leona,Support,52.25%,5.70%,0.29%,3.98,2.06,5.46,13.95,5,7686,20666,3363,44.1,0.06,0.11,9434,15,7
83,Lissandra,Middle,48.81%,1.07%,0.03%,2.54,5.88,5.88,8.37,7,20288,20992,3537,182.4,1.34,4.48,11786,39,2
84,Lissandra,Top,49.50%,0.34%,0.03%,3.19,4.59,5.77,7.44,5,19019,20552,3457,190.0,1.0,2.61,11450,42,2
85,Lucian,ADC,46.90%,8.53%,0.54%,4.7,6.99,5.56,6.91,9,21202,20911,3585,196.6,1.44,5.81,12566,12,1
86,Lucian,Middle,46.90%,3.61%,0.54%,7.46,6.35,5.49,5.79,8,20371,21993,2589,189.6,1.86,6.75,11935,35,1
87,Lulu,Support,50.03%,10.45%,2.67%,4.35,1.36,4.67,13.73,5,5909,14109,2178,16.1,0.07,0.12,9324,5,0
88,Lux,Middle,52.09%,5.03%,0.09%,4.15,6.61,5.15,9.01,7,21729,13873,1368,161.7,0.71,2.7,11577,10,5
89,Lux,Support,45.36%,1.56%,0.09%,5.06,3.78,5.73,11.67,7,15570,13133,1289,40.1,0.32,0.71,10290,18,1
90,Malphite,Jungle,47.87%,0.43%,0.13%,4.04,4.48,4.69,9.43,6,13203,24932,6283,47.8,2.8,48.33,10789,42,0
91,Malphite,Top,51.20%,2.65%,0.13%,3.18,4.43,4.65,8.28,6,16377,20859,2126,161.1,0.79,2.3,10904,36,0
92,Malzahar,Middle,55.42%,3.97%,1.17%,4.65,5.84,5.2,7.51,9,21567,15214,1428,187.4,1.36,4.41,12034,3,0
93,Maokai,Jungle,52.05%,3.61%,1.92%,3.24,3.47,4.66,11.38,4,13231,34699,14965,40.0,3.51,45.14,10331,11,5
94,Maokai,Top,52.00%,3.45%,1.92%,2.8,3.33,4.43,9.24,6,16299,30657,10918,158.9,0.65,1.67,10487,7,1
95,Master Yi,Jungle,49.86%,6.28%,1.78%,3.62,8.19,6.57,4.78,9,16912,28339,8105,61.9,4.96,53.09,12240,7,2
96,Miss Fortune,ADC,51.79%,4.50%,0.07%,4.1,7.38,5.79,7.92,10,23981,18578,3255,188.0,0.89,3.76,12539,6,3
97,Mordekaiser,Top,52.35%,0.69%,0.03%,3.27,5.6,6.0,5.37,6,20953,17093,10269,177.3,1.7,3.65,11544,47,2
98,Morgana,Middle,51.31%,1.23%,0.58%,5.39,5.33,4.71,9.1,6,19835,19047,1805,167.2,0.82,3.14,11347,27,2
99,Morgana,Support,47.86%,4.64%,0.58%,3.97,2.48,5.63,13.77,5,12381,17130,2281,27.1,0.17,0.33,10031,11,2
100,Nami,Support,50.25%,6.17%,0.05%,5.42,1.48,4.61,14.69,4,8090,15222,12145,12.8,0.05,0.08,9417,7,0
101,Nasus,Top,50.84%,4.91%,1.31%,2.88,5.09,5.24,5.35,7,17915,31671,1292,185.0,1.1,2.93,11591,5,2
102,Nautilus,Jungle,44.12%,0.32%,0.03%,4.72,3.25,5.13,10.63,4,10944,25529,5915,42.7,2.16,40.38,10002,46,1
103,Nautilus,Support,48.07%,1.19%,0.03%,4.42,1.95,5.47,12.7,3,9182,20196,3492,48.5,0.14,0.36,9289,23,0
104,Nautilus,Top,45.75%,0.62%,0.03%,3.86,3.22,4.92,9.05,5,14110,22089,1932,156.5,0.52,1.7,10355,52,1
105,Nidalee,Jungle,48.14%,1.72%,0.04%,2.7,6.55,5.51,7.25,8,16218,27113,13604,39.4,7.65,54.14,11409,21,2
106,Nocturne,Jungle,51.05%,2.41%,0.10%,3.33,7.17,5.61,6.59,8,15489,27972,9817,53.4,4.77,55.26,11876,17,3
107,Nunu,Jungle,50.98%,0.78%,0.02%,2.43,2.72,4.56,10.71,4,8236,35946,16191,39.8,5.27,42.37,10293,40,1
108,Olaf,Jungle,48.86%,0.77%,0.05%,2.65,5.77,5.29,8.02,7,14732,34209,8696,49.5,4.89,49.93,11199,26,13
109,Olaf,Top,48.44%,0.85%,0.05%,2.86,5.96,6.01,5.87,7,18730,28148,3805,169.9,1.31,2.7,11451,43,2
110,Orianna,Middle,48.87%,8.13%,0.51%,3.78,5.81,5.39,8.49,8,19758,15663,1646,180.9,1.7,6.81,11732,9,4
111,Ornn,Jungle,36.16%,1.87%,3.41%,1.33,3.22,5.74,9.35,6,11787,28087,6283,42.0,3.11,49.0,10158,45,0
112,Ornn,Support,33.74%,1.09%,3.41%,1.34,1.74,6.46,10.81,4,9308,22305,3417,49.3,0.27,1.21,9027,26,0
113,Ornn,Top,36.07%,4.78%,3.41%,1.28,3.03,6.13,7.73,7,15067,24916,2208,152.3,0.58,2.28,10131,49,0
114,Pantheon,Jungle,49.77%,0.86%,1.08%,4.77,6.84,5.78,7.27,8,14978,23662,6096,47.5,2.39,36.86,10868,43,1
115,Pantheon,Top,53.37%,2.76%,1.08%,3.8,7.58,6.1,6.14,9,20007,20572,1905,151.1,0.64,1.98,11408,28,3
116,Poppy,Jungle,49.34%,0.53%,0.03%,4.51,4.8,4.64,9.16,6,13379,27084,6182,40.5,4.3,45.85,10688,39,3
117,Poppy,Top,48.20%,1.35%,0.03%,3.07,4.32,4.81,7.44,5,16719,24949,2199,158.6,0.89,2.17,10794,45,1
118,Quinn,Top,53.55%,0.78%,0.03%,4.01,7.7,6.99,6.34,7,22197,20531,2018,170.9,1.19,2.51,12145,38,1
119,Rakan,Support,50.39%,8.14%,0.66%,2.98,1.48,5.02,14.5,5,6668,16400,5436,14.7,0.06,0.12,9562,9,2
120,Rammus,Jungle,53.51%,3.60%,0.41%,2.39,4.25,5.06,11.15,6,12478,29091,7364,38.6,3.74,49.28,10639,19,4
121,Rek'Sai,Jungle,49.07%,1.84%,0.11%,2.51,6.54,5.32,7.93,8,13623,30780,11191,36.6,5.96,52.59,11153,24,1
122,Renekton,Top,49.68%,5.19%,0.49%,3.4,5.2,5.39,6.06,9,17311,31784,6106,190.4,1.8,3.38,11617,6,1
123,Rengar,Jungle,47.12%,1.70%,0.08%,3.2,7.28,6.34,5.98,8,16350,28795,9780,45.9,6.08,55.04,11632,32,1
124,Rengar,Top,49.21%,0.44%,0.08%,5.82,7.49,6.51,5.1,8,19450,25062,4842,160.5,2.88,6.73,11838,48,8
125,Riven,Top,51.44%,6.92%,0.79%,5.92,6.74,5.74,5.07,8,17294,22397,2951,178.6,2.1,4.52,11865,8,0
126,Rumble,Jungle,49.10%,0.43%,0.14%,5.48,5.77,5.55,8.8,7,19238,25128,6595,55.9,5.13,55.02,11423,23,7
127,Rumble,Top,49.57%,2.36%,0.14%,3.34,5.45,5.74,7.22,7,22160,21578,1676,170.4,1.09,3.3,11299,31,2
128,Ryze,Middle,42.17%,0.60%,0.03%,3.08,5.53,5.79,6.33,6,19184,20713,3517,175.7,1.87,6.28,11415,45,0
129,Sejuani,Jungle,53.95%,5.29%,0.93%,3.03,4.37,4.39,11.43,6,12305,30344,6940,39.4,3.98,47.99,10681,6,1
130,Shaco,Jungle,51.02%,2.20%,0.20%,4.66,6.69,5.47,6.95,9,14414,25007,6942,50.4,5.99,44.05,11661,28,0
