Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
165,Udyr,Jungle,48.93%,0.77%,0.01%,2.12,5.38,5.52,7.01,6,12183,30055,9339,50.1,5.38,46.63,11380,40,0
166,Urgot,Top,50.05%,2.25%,0.62%,2.04,6.93,5.75,5.81,8,19952,25285,2341,165.4,0.99,2.1,11720,25,7
167,Varus,ADC,49.92%,3.17%,0.03%,2.76,7.02,5.94,8.01,9,21227,19299,3732,189.7,1.5,5.94,12659,13,1
168,Vayne,ADC,51.32%,12.70%,2.23%,3.76,8.14,6.29,6.14,10,21974,21016,4351,184.5,1.36,5.14,12709,4,0
169,Veigar,Middle,50.97%,4.17%,0.31%,2.71,7.94,6.29,6.5,9,21644,16923,1683,166.4,1.25,4.13,12074,18,1
170,Veigar,Support,48.61%,0.69%,0.31%,4.08,5.2,6.97,9.63,8,16033,16551,1458,53.1,0.69,1.82,10906,22,1
171,Vel'Koz,Middle,52.46%,2.12%,0.07%,3.97,7.32,5.86,8.18,8,25827,16480,1795,165.7,1.03,3.15,12064,10,2
172,Vel'Koz,Support,49.84%,0.90%,0.07%,4.6,4.7,6.38,10.17,7,21523,15601,1361,49.8,0.51,1.18,10943,16,2
173,Vi,Jungle,51.43%,3.59%,0.11%,2.78,6.2,5.95,7.92,7,14204,25307,6327,42.5,4.2,47.49,11303,27,2
174,Viktor,Middle,50.04%,1.96%,0.05%,2.59,7.0,5.76,6.61,8,23658,16362,1503,181.3,1.55,5.75,12150,27,0
175,Vladimir,Middle,50.96%,2.70%,0.87%,2.83,6.94,5.89,6.64,8,23270,28035,19378,173.3,1.4,3.25,11709,24,2
176,Vladimir,Top,49.40%,1.80%,0.87%,2.81,5.41,5.81,6.11,7,21812,27855,19272,178.5,0.97,2.47,11409,24,1
177,Volibear,Jungle,50.19%,1.00%,0.03%,3.09,5.77,5.42,9.18,8,13900,34227,6963,46.2,3.21,41.49,11160,31,0
178,Volibear,Top,49.11%,0.47%,0.03%,3.38,5.83,5.72,7.01,6,16756,32093,2310,148.3,1.03,2.26,11223,42,6
179,Warwick,Jungle,52.27%,6.00%,0.89%,2.67,6.87,6.14,8.08,8,13798,36497,15996,43.5,4.39,42.39,11366,8,0
180,Wukong,Jungle,50.16%,1.19%,0.08%,3.39,6.87,5.9,7.65,7,16190,27243,7924,50.3,3.34,43.16,11435,34,4
181,Wukong,Top,54.18%,1.46%,0.08%,3.53,7.48,5.93,6.34,8,20271,22867,2364,157.3,0.94,2.52,11821,29,1
182,Xayah,ADC,50.75%,7.39%,1.19%,2.4,7.11,5.8,7.43,9,22434,19154,3962,192.1,1.68,6.16,12657,9,1
183,Xerath,Middle,51.22%,1.68%,0.04%,2.75,7.1,5.41,8.26,8,25330,15095,1628,169.7,1.05,3.93,11993,14,4
184,Xin Zhao,Jungle,51.74%,4.35%,0.26%,2.93,6.44,6.64,6.68,10,15724,31724,12778,44.4,4.06,40.73,11291,29,2
185,Xin Zhao,Top,46.88%,0.71%,0.26%,4.27,6.33,7.03,5.1,7,18240,28267,6769,144.7,1.29,3.38,11143,51,0
186,Yasuo,Middle,50.17%,5.75%,5.55%,4.1,7.56,7.26,5.65,10,19641,21665,1819,178.8,3.33,6.54,12206,3,0
187,Yasuo,Top,52.74%,4.55%,5.55%,4.29,6.89,7.19,5.11,9,20278,22415,1807,192.4,2.85,5.16,12423,2,1
188,Yorick,Top,53.52%,1.49%,0.12%,3.24,5.37,5.33,5.74,7,20411,26733,5426,181.2,0.87,1.63,11724,23,3
189,Zac,Jungle,48.12%,3.14%,2.21%,2.91,3.93,4.62,11.85,5,11785,34912,26283,39.1,3.31,45.66,10410,9,1
190,Zed,Middle,49.59%,7.69%,5.81%,2.76,9.14,6.51,5.78,10,22109,20794,2257,166.0,1.25,3.32,12297,1,0
191,Ziggs,Middle,52.52%,2.09%,0.04%,2.81,6.36,5.83,7.82,9,25797,15722,1549,176.0,1.31,4.55,12110,17,6
192,Zilean,Middle,55.65%,0.41%,0.03%,3.67,4.63,4.41,10.16,5,19332,19822,8679,168.6,1.44,3.77,11387,31,2
193,Zilean,Support,50.51%,0.88%,0.03%,3.05,2.73,5.22,12.83,6,13048,16907,6559,45.1,0.4,0.87,10469,15,4
194,Zyra,Support,49.47%,2.18%,0.14%,4.01,3.69,6.41,11.26,6,20675,16326,1451,41.9,0.34,0.8,10749,17,5
