Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
171,Wukong,Top,51.86%,1.23%,0.05%,7.03,7.06,5.79,5.69,8,19379,21149,2014,164.1,0.82,2.57,11522,39,9
172,Xayah,ADC,50.37%,11.61%,1.02%,5.48,6.23,5.04,6.92,9,21422,17732,4056,197.8,1.56,6.86,12182,6,0
173,Xerath,Middle,51.16%,1.93%,0.03%,5.41,6.35,4.68,7.86,7,24462,13934,1579,184.4,1.11,4.58,11786,12,6
174,Xin Zhao,Jungle,50.03%,1.48%,0.03%,4.14,5.92,6.02,6.28,7,14823,30802,13022,42.6,4.27,45.3,10970,38,3
175,Xin Zhao,Top,46.18%,0.27%,0.03%,7.26,5.65,6.6,4.67,6,17445,27330,6701,163.6,1.51,3.68,11114,53,5
176,Yasuo,Middle,49.30%,4.30%,3.42%,11.26,6.61,6.41,5.28,9,17889,20194,1406,187.8,3.2,6.84,11765,16,1
177,Yasuo,Top,50.69%,4.69%,3.42%,10.92,5.67,6.36,4.73,8,17613,20722,1380,197.4,2.41,4.66,11777,9,4
178,Yorick,Top,50.74%,0.78%,0.04%,5.72,4.68,4.97,5.27,6,19185,25675,5367,187.1,0.84,1.66,11362,29,7
179,Zac,Jungle,47.89%,3.59%,2.49%,5.64,3.55,4.15,11.1,5,10831,33416,26802,35.2,3.87,51.52,10031,14,2
180,Zed,Middle,49.52%,6.75%,4.11%,6.7,8.3,5.79,5.17,9,20932,19255,2083,177.4,1.11,3.2,11958,1,0
181,Ziggs,Middle,52.68%,1.81%,0.02%,5.1,5.87,5.02,7.31,8,25225,14971,1599,192.8,1.72,6.32,12093,11,2
182,Zilean,Middle,53.56%,0.75%,0.04%,8.4,3.9,3.78,9.41,5,16952,18407,8454,177.2,1.54,3.89,10882,27,1
183,Zilean,Support,50.47%,1.09%,0.04%,7.05,2.3,4.4,12.76,4,10759,15503,6371,35.1,0.38,0.67,9817,10,1
184,Zyra,Support,49.27%,1.71%,0.06%,7.06,3.41,5.9,10.51,5,19725,15268,1252,35.3,0.33,0.74,10150,13,3
