Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
146,Trundle,Jungle,49.56%,0.51%,0.04%,5.06,4.86,4.68,8.27,5,12475,34875,16081,46.5,4.22,46.18,10762,32,0
147,Trundle,Support,47.58%,0.36%,0.04%,5.76,1.94,4.25,12.32,5,6458,24399,10881,45.5,0.2,1.09,8966,21,7
148,Trundle,Top,49.11%,1.73%,0.04%,3.48,4.14,4.87,6.2,6,14681,30690,9821,177.2,1.27,2.61,10984,35,2
149,Tryndamere,Top,51.78%,2.14%,0.20%,5.59,5.37,5.22,4.07,7,16504,31008,8246,204.3,4.28,5.44,12293,14,3
150,Twisted Fate,Middle,53.06%,6.46%,0.37%,5.1,5.73,5.08,7.82,7,18728,18641,3154,173.9,1.25,5.2,12079,10,1
151,Twitch,ADC,52.85%,10.20%,4.13%,5.41,7.85,5.48,7.03,9,22521,18780,3497,182.5,1.43,6.69,12354,2,1
152,Twitch,Jungle,51.58%,1.42%,4.13%,7.69,8.4,6.41,6.91,8,19781,22907,6220,55.5,3.78,45.54,11805,6,5
153,Udyr,Jungle,47.58%,0.51%,0.01%,3.41,4.83,4.88,6.66,5,11143,28725,9307,48.2,6.1,50.6,11011,40,1
154,Urgot,Top,49.18%,1.91%,0.38%,3.37,6.41,5.27,5.25,6,18630,23570,2184,173.6,0.84,2.18,11437,29,16
155,Varus,ADC,49.77%,3.29%,0.01%,4.84,6.22,5.31,7.63,8,20292,18477,3776,195.9,1.44,6.93,12264,14,1
156,Vayne,ADC,51.69%,11.99%,1.29%,7.46,7.4,5.64,5.78,9,21271,19915,4495,191.6,1.26,5.55,12389,4,2
157,Veigar,Middle,48.02%,2.06%,0.08%,4.12,7.09,5.63,6.07,7,20401,16325,1717,178.9,1.33,4.85,11813,33,1
